source,manufacturer,model,device-type,device-class,release-date,models,sensors,main,main-front,ultrawide,macro,telephoto
,Samsung,A54,Phone,SOC,1679641200,SM-A546B;SM-A546E;SM-A546E/DS;SM-A546U;SM-A546V;SM-A5460;SCG21;SC-53D;SM-A546B/DS;SM-A546S;SM-A546U1,,IMX766:26.17079,IMX616:25.27;S5KGD2:25.27,S5K3L6:13,hold,
,Apple,iPhone 13 Pro,Phone,SOC,,,,,,,,
,Samsung,S20,Phone,SOC,,,IMX582;IMX586:103,,,,,
,Sony,Alpha 1,Camera,MILC,,,Exmor_RS_CMOS_50MP,,,,,
,Raspberry Pi,v1,Embedded,SBC,,,OV5647,,,,,
,Raspberry Pi,v2,Embedded,SBC,,,IMX219,,,,,
,Raspberry Pi,v3,Embedded,SBC,,,IMX708;IMX477,,,,,
,Raspberry Pi,AI,Embedded,SBC,,,IMX500,,,,,
,Xiaomi,15 Ultra,Phone,SOC,,,,1in Leica,,,,
https://www.oneplus.com/global/13/specs,OnePlus,13,Phone,SOC,,,,LYT-808:23,IMX615:21,S5KJN5:15,,LYT-600:73
https://www.oneplus.com/global/13r/specs,OnePlus,13R,Phone,SOC,,,,LYT-700:24,hold,hold,,S5KJN5:47
,Nikon,,Camera,,,,APS-C 1,,,,,
,Pentax,,Camera,,,,APS-C 1,,,,,
,Sony,,Camera,,,,APS-C 1,,,,,
,Canon,,Camera,,,,APS-C 2,,,,,
,Canon,,Camera,,,,APS-H,,,,,
,Arducam,,Camera,,,,OV2710:18.3,,,,,
,Arducam,16MP,Camera,,,,IMX519:26.1,,,,,
,Arducam,16MP,Camera,,,,IMX298:26.8,,,,,
,Arducam,Pivariety:B0367,Camera,,,,AR1820HS:22,,,,,
,Arducam,21MP,Camera,,,,IMX230:27.6,,,,,
,Arducam,Hawkeye,Camera,,,,IMX787:23.9,,,,,
,Arducam,OwlSight,Camera,,,,OV64A40:24.7,,,,,
