sensor-manufacturer,sensor-name,sensor-name-friendly,effective-focal-length,focal-length,sensor-pix-x,sensor-pix-y,sensor-pix-size,sensor-width,sensor-height,sensor-diagonal,sensor-area,sensor-format,sensor-mp,sensor-aspect,sensor-crop-factor,lens-hfov,lens-vfov,lens-dfov,lens-dof,lens-cof,lens-image-circle,subject-distance,distortion-type,brown3-radial1,brown3-radial2,brown3-radial3,principal-pix-x,principal-pix-y,,,
Manufacturer,Sensor part number,Sensor name,Effective focal length,35mm focal length,Sensor X pixel count,Sensor Y pixel count,Sensor pixel size (μm),Sensor width (mm),Sensor height (mm),Sensor diagonal (mm),Sensor area (mm²),Sensor format,Sensor MP,Sensor aspect ratio,Sensor crop factor,Lens horizontal FOV,Lens vertical FOV,Lens diagonal FOV,Lens depth of field,Lens circle of confusion,Lens image circle dia.,Subject distance (m),Radial distortion type,Brown 3 radial 1,Brown 3 radial 2,Brown 3 radial 3,Principal point X,Principal point Y,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
,,,0.1,0.1,100,100,0.1,0.5,0.5,0.5,1,,0.5,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,,0.05,0.05,0.05,1,1,,,
,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,
text,value,step,calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Focal length multiplier,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony,IMX766,,5.54,24.5,8160,6120,1,,,,,1/1.56”,49.9392,,,,,,,,,,,0.158,-0.411,0.347,,,,,
Sony,IMX772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony,IMX582,,,,,,,,,,,1/2”,48,,,,,,,,,,,,,,,,,,
Sony,IMX586,,,103,,,,,,,,1/2”,48,,,,,,,,,,,,,,,,,,
Sony,IMX686,,,,,,,,,,,1/1.72”,64,,,,,,,,,,,,,,,,582/586 successor,,
Samsung,S5KHM1,ISOCELL HM1,,,12032,9024,0.8,7.3,9.7,,,1/1.33”,108,,,,,,,,,,,,,,,,,,
Samsung,S5KHP9,ISOCELL HP9,,,16320,12288,0.56,,,,,1/1.4”,200,,,,,,,,,,,,,,,,,,
Sony,Exmor_RS_CMOS_50MP,Alpha 1,,,,,4.16,35.9,24,,,,50.1,,,,,,,,,,,,,,,,https://www.fullcompass.com/prod/599822-sony-alpha-1-50mp-mirrorless-digital-camera-body-only,,
