sensor-name,sensor-name-friendly,effective-focal-length,focal-length,sensor-pix-x,sensor-pix-y,sensor-pix-size,sensor-width,sensor-height,sensor-diagonal,sensor-area,sensor-format,sensor-mp,sensor-aspect,sensor-crop-factor,lens-hfov,lens-vfov,lens-dfov,lens-dof,lens-cof,lens-image-circle,subject-distance,distortion-type,brown3-radial1,brown3-radial2,brown3-radial3,principal-pix-x,principal-pix-y
Sensor part number,Sensor name,Effective focal length,35mm focal length,Sensor X pixel count,Sensor Y pixel count,Sensor pixel size (μm),Sensor width (mm),Sensor height (mm),Sensor diagonal (mm),Sensor area (mm²),Sensor format,Sensor MP,Sensor aspect ratio,Sensor crop factor,Lens horizontal FOV,Lens vertical FOV,Lens diagonal FOV,Lens depth of field,Lens circle of confusion,Lens image circle dia.,Subject distance (m),Radial distortion type,Brown 3 radial 1,Brown 3 radial 2,Brown 3 radial 3,Principal point X,Principal point Y
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,0.1,0.1,100,100,0.1,0.5,0.5,0.5,1,,0.5,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,,0.05,0.05,0.05,1,1
,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
135,Kodak 35mm,35.0,,3600.0,2400.0,10.0,,,,,36”x24”,,,,,,,,,,,,,,,,
1in Leica,Xiaomi 15 Ultra - Main Wide,,23.0,8160.0,6120.0,1.6,13.2,8.8,,,,50.0,,,,,,,,,,,,,,,
APS-C 1,"Nikon DX, Pentax, Sony",,,,,,23.5,15.6,,,,24.0,,,,,,,,,,,,,,,
APS-C 2,Canon,,,,,,22.3,14.9,,,,24.0,,,,,,,,,,,,,,,
APS-C 3,Spec,,,,,,25.1,16.7,,,,24.0,,,,,,,,,,,,,,,
APS-H,Canon,,,,,,27.9,18.6,,,,,,,,,,,,,,,,,,,
AR1820,Arducam 18MP,3.9,,4912.0,3684.0,1.25,,,,,1/2.3”,,,,,,,,,,,,,,,,
BF314ACS,Omnivision,1.7,,1280.0,800.0,,,,,,1/4”,1.0,,,,,,,,,,,,,,,
Exmor_RS_CMOS_50MP,Sony Alpha 1,,,,,4.16,35.9,24.0,,,,50.1,,,,,,,,,,,,,,,
IMX208,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX214,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX219,Raspberry Pi v2,3.04,,3280.0,,1.12,,,4.6,,1/4”,8.0,,,,,,,,,,,,,,,
IMX230,Arducam 21MP,4.77,,5344.0,4016.0,1.12,,,,,1/2.4”,,,,,,,,,,,,,,,,
IMX258,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX264,Sony,,,2464.0,2056.0,3.45,,,11.1,,,5.07,,,,,,,,,,,,,,,
IMX265,Sony,,,2064.0,1544.0,3.45,,,8.9,,1/1.8”,3.19,,,,,,,,,,,,,,,
IMX274,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX283,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX290,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX296,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX298,Arducam 16MP,4.04,,4656.0,3496.0,1.12,,,,,1/2.8”,,,,,,,,,,,,,,,,
IMX316,Sony,,,,,,,,,,,0.3,,,,,,,,,,,,,,,
IMX319,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX327,Sony,,,1920.0,1080.0,2.9,,,,,1/2.8”,,,,,,,,,,,,,,,,
IMX334,Sony,,,3840.0,2160.0,2.0,,,8.86,,1/1.8”,,,,,,,,,,,,,,,,
IMX335,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX355,Sony,,,2592.0,1944.0,2.0,,,6.52,,1/2.8”,,,,,,,,,,,,,,,,
IMX363,Sony,,16.0,,,1.4,,,7.05,,1/2.55”,12.2,,,,,,,,,,,,,,,
IMX376,Sony,2.35,,,,,,,,,1/1.8”,20.0,,,,,,,,,,,,,,,
IMX412,Sony,,,4056.0,3040.0,1.55,7.564,5.476,7.857,,1/2.3”,12.3,,,,,,,,,,,,,,,
IMX415,Sony,,,3840.0,2160.0,1.45,,,6.4,,1/2.8”,,,,,,,,,,,,,,,,
IMX455,Sony,,,9602.0,6498.0,3.76,40.961,31.108,43.3,,2.7”,61.17,,,,,,,,,,,,,,,
IMX458,Sony,,,4224.0,3192.0,1.12,5.99,3.908,5.867,,1/3.06”,13.13,,,,,,,,,,,,,,,
IMX462,Sony,,,1920.0,1080.0,2.9,,,6.46,,1/2.8”,,,,,,,,,,,,,,,,
IMX477,Raspberry Pi High Quality,4.0,,4056.0,3040.0,1.55,,,7.857,,1/2.3”,12.3,,,,,,,,,,,,,,,
IMX500,Raspberry Pi AI,4.74,,4056.0,3040.0,1.55,,,7.857,,1/2.3”,12.3,,,,,,,,,,,,,,,
IMX503,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX519,Arducam 16MP,4.28,,4656.0,3496.0,1.22,,,7.103,,1/2.534”,16.0,,,,,,,,,,,,,,,
IMX557,Sony,,24.0,,,1.8,,,,,1/1.76”,12.19,,,,,,,,,,,,,,,
IMX563,Sony,,16.0,,,,,,,,1/2.55”,12.0,,,,,,,,,,,,,,,
IMX577,Sony,,,4056.0,3040.0,1.55,,,7.857,,1/2.3”,12.3,,,,,,,,,,,,,,,
IMX582,Samsung S20,,,,,,,,,,1/2”,48.0,,,,,,,,,,,,,,,
IMX586,Samsung S20,,103.0,,,,,,,,1/2”,48.0,,,,,,,,,,,,,,,
IMX603,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX615,Sony,,21.0,,,0.8,,,,,1/2.74”,32.0,,,,,,,,,,,,,,,
IMX650-12,Sony,,125.0,,,1.0,,,,,1/3.5”,12.0,,,,,,,,,,,,,,,
IMX650-40,Sony,,,,,,,,,,1/1.7”,40.0,,,,,,,,,,,,,,,
IMX663,Sony,,20.0,,,1.0,,,,,1/2.9”,12.0,,,,,,,,,,,,,,,
IMX678,Sony,,,3856.0,2180.0,2.0,26.5,26.5,,,1/1.8”,8.3,,,,,,,,,,,,,,,
IMX686,582/586 successor,,,,,,,,,,1/1.72”,64.0,,,,,,,,,,,,,,,
IMX703,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX708,Raspberry Pi v3,4.74,,4608.0,,1.4,,,7.4,,1/2.43”,11.9,,,,,,,,,,,,,,,
IMX766,Samsung A54,5.54,24.5,8160.0,6120.0,1.0,,,,,1/1.56”,49.9392,,,,,,,,,,,0.158,-0.411,0.347,,
IMX772,iPhone 13 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,
IMX787,Arducam 64MP Hawkeye,5.1,,9152.0,6944.0,0.8,7.4,5.55,9.25,,1/1.7”,,,,,,,,,,,,,,,,
IMX989,Sony,,,8192.0,6144.0,1.6,,,,,,50.33,,,,,,,,,,,,,,,
ISOCELL GN1,Samsung ,,,,,,,,,,,,,,,,,,,,,,,,,,
ISOCELL JN5,Samsung - Ultra Wide,,15.0,8192.0,6144.0,0.64,,,,,1/2.76”,,,,,,,,,,,,,,,,
ISOCELL S5K3T2,Samsung ,,70.0,,,1.0,,,,,1/3.4”,12.2,,,,,,,,,,,,,,,
ISOCELL S5K4H7,Samsung ,,24.0,,,1.0,,,,,1/4”,8.0,,,,,,,,,,,,,,,
LYT-500,Sony,,,,,0.6,,,6.144,,1/2.93”,50.0,,,,,,,,,,,,,,,
LYT-600,Sony,,73.0,8160.0,6120.0,0.8,,,8.192,,1/1.95”,50.0,,,,,,,,,,,,,,,
LYT-700,Sony,,24.0,8160.0,6120.0,1.0,,,10.24,,1/1.56”,50.0,,,,,,,,,,,,,,,
LYT-800,Sony,,,,,,,,11.2,,1/1.43”,53.0,,,,,,,,,,,,,,,
LYT-818,Sony,,,,,1.22,,,12.49,,1/1.28”,50.0,,,,,,,,,,,,,,,
LYT-900,Sony,,,,,,,,16.384,,1/0.98”,50.0,,,,,,,,,,,,,,,
